IncidentNumber (S),AffectedEndUser (S),CI (S),Summary (S),
IN100033,Advertising,RAVENESB,Need a new cable to connect laptop to monitors,
IN100034,Sales and Marketing,RAVENCC,WFH on friday,
IN100035,Quality Assurance,NEM,Can't access Intranet on mobile phone,
IN100036,System_generated,MARC,A second monitor,
IN100037,NOTAPP,RAVENESB,Screenshot / video recording software,
IN100038,Quality Assurance,RAVENCC,Phone redirect for mdavis,
IN100039,Human Resources,NEM,Laptop screen blinks,
IN100040,Media Relations,MARC,VPN access request,
IN100041,Tech Support,OMM,VPN access request,
IN100042,Legal Department,CCAP,Can't see Intranet,
IN100043,Quality Assurance,CASTER,A second monitor,
IN100044,Human Resources,GRECA,Photo editing software request,
IN100045,Media Relations,RAVENESB,IDE licenses,
IN100046,Tech Support,RAVENCC,New employee Jim,
IN100047,Legal Department,NEM,Wireless router not working,
IN100048,Finances,MARC,Laptop screen blinks,
IN100049,Asset Management,OMM,The printer is not working,
IN100050,Customer Service,CCAP,Email requests enabled,
IN100051,Finances,CASTER,Need 3 laptops for demo,
IN100052,Advertising,GRECA,Phone redirect for mdavis,
IN100053,Sales and Marketing,TSA,VPN access request,
IN100054,Quality Assurance,VB,Visitor wifi access,
IN100055,System_generated,RAVENESB,New employee David Chen,
IN100056,NOTAPP,RAVENCC,Laptop screen blinks,
IN100057,Quality Assurance,NEM,The printer is not working,
IN100058,Quality Assurance,MARC,Intranet down?,
IN100059,Human Resources,OMM,New employee Jim,
IN100060,Media Relations,CCAP,I cannot login to our HR system,
IN100061,Tech Support,CASTER,What am I looking at?,
IN100062,Legal Department,GRECA,Cannot access intranet,
IN100063,Finances,TSA,New employee Ryan Silva,
IN100064,Asset Management,VB,I cannot login to our HR system,
IN100065,Customer Service,RAVENAT,The printer is not working,
IN100066,Finances,RAVENESB,Guest wifi for Jane from ABC Corp,
IN100067,System_generated,RAVENAT,Contrlm job Lxhhh267 failed,
IN100068,System_generated,RAVENESB,Contrlm job Lxhhh268 failed,
IN100069,System_generated,RAVENAT,Contrlm job Lxhhh269 failed,
IN100070,System_generated,RAVENAT,Contrlm job Lxhhh270 failed,
IN100071,System_generated,RAVENAT,Contrlm job Lxhhh271 failed,
IN100072,System_generated,RAVENAT,Contrlm job Lxhhh272 failed,
IN100073,System_generated,RAVENESB,Contrlm job Lxhhh273 failed,
IN100074,System_generated,RAVENAT,Contrlm job Lxhhh274 failed,
IN100075,System_generated,RAVENESB,Contrlm job Lxhhh275 failed,
IN100076,System_generated,RAVENCC,Contrlm job Lxhhh276 failed,
IN100077,System_generated,RAVENNAT,Contrlm job Lxhhh272 failed,
IN100078,System_generated,RAVENET,Contrlm job Lxhhh273 failed,
IN100079,System_generated,GRECA,Contrlm job Lxhhh274 failed,
IN100080,System_generated,NEM,Contrlm job Lxhhh275 failed,
IN100081,Finances,MARC,Guest wifi for Jane from ABC Corp,
IN100082,Advertising,OMM,Some gadgets on my JIRA dashboard seem to be broken,
IN100083,Sales and Marketing,CCAP,Printing on level 5 doesn't work,
IN100084,Quality Assurance,CASTER,New employee David Chen,
IN100085,System_generated,GRECA,Wireless dongle,
IN100086,NOTAPP,RAVENESB,Intranet server offline,
IN100087,Quality Assurance,RAVENCC,Need a new cable to connect laptop to monitors,
IN100088,System_generated,NEM,WFH on friday,
IN100089,NOTAPP,MARC,Can't access Intranet on mobile phone,
IN100090,System_generated,OMM,A second monitor,
IN100091,NOTAPP,GAME,GAM page not working,
IN100092,Quality Assurance,TSA,TF portal inquiery,
IN100093,System_generated,WHATIFF,WHATIF DOWN!,
IN100094,NOTAPP,WTF,WTF request,
IN100095,Quality Assurance,HAHAHA,hahahahahha yes,
